system_slug,system_name,system_description,source_short_title,source_full_title,source_edition,source_year,source_citation,source_url,subject_system_slug,object_system_slug,subject_name,subject_kind,subject_description,object_name,object_kind,object_description,subject_aliases,object_aliases,relation_slug,relation_label,source_locator,note,confidence,variant_group,is_editorial
crowley777,Crowley 777,Prototype namespace for sample correspondences,777,777 and Other Qabalistic Writings,prototype,,,,,,Netzach,sephirah,Seventh sephirah in the prototype dataset,Venus,planet,Planetary center for the prototype Venusian working set,נצח,Aphrodite,planetary_attribution,Planet,"Table I, row Netzach",,,,
crowley777,Crowley 777,Prototype namespace for sample correspondences,777,777 and Other Qabalistic Writings,prototype,,,,,,Venus,planet,Prototype Venus row for practitioner-facing CLI output,Emerald Green,color,,Aphrodite,,color_of,Color,Prototype row for Venus,,,,
crowley777,Crowley 777,Prototype namespace for sample correspondences,777,777 and Other Qabalistic Writings,prototype,,,,,,Venus,planet,Prototype Venus row for practitioner-facing CLI output,Copper,metal,,Aphrodite,,metal_of,Metal,Prototype row for Venus,,,,
crowley777,Crowley 777,Prototype namespace for sample correspondences,777,777 and Other Qabalistic Writings,prototype,,,,,,Venus,planet,Prototype Venus row for practitioner-facing CLI output,Haniel,angel,,Aphrodite,,angel_of,Angel,Prototype row for Venus,,,,
crowley777,Crowley 777,Prototype namespace for sample correspondences,777,777 and Other Qabalistic Writings,prototype,,,,,,Venus,planet,Prototype Venus row for practitioner-facing CLI output,Aphrodite,deity,,Aphrodite,,deity_of,Deity,Prototype row for Venus,,,,
crowley777,Crowley 777,Prototype namespace for sample correspondences,777,777 and Other Qabalistic Writings,prototype,,,,,,Venus,planet,Prototype Venus row for practitioner-facing CLI output,Rose,perfume,,Aphrodite,,perfume_of,Perfume,Prototype row for Venus,,,,
crowley777,Crowley 777,Prototype namespace for sample correspondences,777,777 and Other Qabalistic Writings,prototype,,,,,,Venus,planet,Prototype Venus row for practitioner-facing CLI output,Emerald,stone,,Aphrodite,,stone_of,Stone,Prototype row for Venus,,,,
crowley777,Crowley 777,Prototype namespace for sample correspondences,777,777 and Other Qabalistic Writings,prototype,,,,,,Venus,planet,Prototype Venus row for practitioner-facing CLI output,Friday,day,,Aphrodite,,day_of,Day,Prototype row for Venus,,,,
crowley777,Crowley 777,Prototype namespace for sample correspondences,777,777 and Other Qabalistic Writings,prototype,,,,,,Venus,planet,Prototype Venus row for practitioner-facing CLI output,7,number,,Aphrodite,,number_of,Number,Prototype row for Venus,,,,
crowley777,Crowley 777,Prototype namespace for sample correspondences,777,777 and Other Qabalistic Writings,prototype,,,,,,Venus,planet,Prototype Venus row for practitioner-facing CLI output,Myrtle,plant,,Aphrodite,,plant_of,Plant,Prototype row for Venus,,,,
skinner,Skinner,Prototype namespace for comparative rows,CMT,The Complete Magician's Tables,prototype,,,,,,Venus,planet,Comparison Venus row in the prototype Skinner namespace,Green,color,,,,color_of,Color,Prototype row for Venus,,,,
skinner,Skinner,Prototype namespace for comparative rows,CMT,The Complete Magician's Tables,prototype,,,,,,Venus,planet,Comparison Venus row in the prototype Skinner namespace,Copper,metal,,,,metal_of,Metal,Prototype row for Venus,,,,
skinner,Skinner,Prototype namespace for comparative rows,CMT,The Complete Magician's Tables,prototype,,,,,,Venus,planet,Comparison Venus row in the prototype Skinner namespace,Anael,angel,,,,angel_of,Angel,Prototype row for Venus,,,,
skinner,Skinner,Prototype namespace for comparative rows,CMT,The Complete Magician's Tables,prototype,,,,,,Moon,planet,Comparison Moon row in the prototype Skinner namespace,White,color,,,,color_of,Color,Prototype row for Moon,,,,
